used,"x, 2theta (deg)",obs,calc,bkg,diff,diff/sigma,Axis-limits
1,65.25,15120,15001.833121888254,14984.968224784374,-2504.093122,0.9609922080779444, 
1,65.26,14993.3,15001.632466632196,14984.836297531194,-2630.592467,-0.068049505, 
1,65.27,15056.7,15001.434465101105,14984.703798197786,-2566.994465,0.45039076723448596, 
1,65.28,14616.7,15001.239070374524,14984.57072556044,-3006.79907,-3.18064944, 
1,65.29,14866.7,15001.04623074103,14984.43707840261,-2756.606231,-1.101839145, 
1,65.3,14923.3,15000.855904925487,14984.302855514945,-2699.815905,-0.634866534, 
1,65.31,14606.7,15000.668043861406,14984.168055695323,-3016.228044,-3.259754859, 
1,65.32,15030,15000.482611880612,14984.032677748875,-2592.742612,0.2407678172204224, 
1,65.33,15183.3,15000.299567300763,14983.896720488023,-2439.259567,1.4851455902202768, 
1,65.34,15313.3,15000.118878700468,14983.760182732478,-2309.078879,2.530819542350584, 
1,65.35,15013.3,14999.940506656993,14983.623063309298,-2608.900507,0.10903147979555956, 
1,65.36,15420,14999.764424526558,14983.485361052912,-2202.024425,3.3841579780014697, 
1,65.37,15053.3,14999.59059846549,14983.347074805124,-2568.550598,0.43775836614591906, 
1,65.38,14816.7,14999.419007023296,14983.208203415163,-2804.979007,-1.501094323, 
1,65.39,15150,14999.249618914144,14983.068745739707,-2471.509619,1.2247631251422892, 
1,65.4,14966.7,14999.082415518355,14982.9287,-2654.642416,-0.264695291, 
1,65.41,15106.7,14998.917374314318,14982.78806699639,-2514.477374,0.8769280397062581, 
1,65.42,15136.7,14998.754475309921,14982.646843679344,-2484.314475,1.121223040339005, 
1,65.43,15353.3,14998.593702606124,14982.505029578506,-2267.553703,2.8626485391828793, 
1,65.44,14890,14998.435039543889,14982.362623588164,-2730.69504,-0.888632706, 
1,65.45,14953.3,14998.278473761253,14982.21962461025,-2667.238474,-0.367820721, 
1,65.46,14780,14998.123993508372,14982.076031554316,-2840.383994,-1.794180876, 
1,65.47,15310,14997.971588115184,14981.931843337572,-2310.231588,2.5217762215907564, 
1,65.48,15263.3,14997.821251367386,14981.787058884931,-2356.781251,2.1488472339960767, 
1,65.49,15443.3,14997.672975699306,14981.641677129015,-2176.632976,3.585927179585495, 
1,65.5,15256.7,14997.526757695627,14981.495697010188,-2363.086758,2.0982626911166067, 
1,65.51,14940,14997.382593798948,14981.349117476591,-2679.642594,-0.469466791, 
1,65.52,14920,14997.240483364718,14981.201937484162,-2699.500483,-0.632354439, 
1,65.53,14970,14997.100429229708,14981.054155996664,-2649.360429,-0.221495685, 
1,65.54,15110,14996.962431674638,14980.905771985714,-2509.222432,0.9195822380743324, 
1,65.55,15010,14996.826497314847,14980.756784430801,-2609.086497,0.10752536319660454, 
1,65.56,15153.3,14996.692630403297,14980.60719231933,-2465.65263,1.2722093541283217, 
