used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd1.5Mn0.25Zr2.25O7,tick-pos,Axis-limits
1,22.11,21173.3,21597.79958319792,21597.79958319792,-3046.759583, , , 
1,22.12,21540,21585.474179108125,21585.474179108125,-2667.734179, , , 
1,22.13,21683.3,21573.19793124608,21573.19793124608,-2512.157931, , , 
1,22.14,21263.3,21560.97064704395,21560.97064704395,-2919.930647, , , 
1,22.15,21180,21548.79213450713,21548.79213450713,-2991.052135, , , 
1,22.16,21473.3,21536.662202213007,21536.662202213007,-2685.622202, , , 
1,22.17,21786.7,21524.58065930968,21524.58065930968,-2360.140659, , , 
1,22.18,21526.7,21512.547315514745,21512.547315514745,-2608.107316, , , 
1,22.19,21390,21500.561981113962,21500.561981113962,-2732.821981, , , 
1,22.2,21350,21488.62446696008,21488.62446696008,-2760.884467, , , 
1,22.21,21406.7,21476.73458447153,21476.73458447153,-2692.294584, , , 
1,22.22,21400,21464.892145631224,21464.892145631224,-2687.152146, , , 
1,22.23,21540,21453.09696298526,21453.09696298526,-2535.356963, , , 
1,22.24,21766.7,21441.348849641705,21441.348849641705,-2296.90885, , , 
1,22.25,21926.7,21429.647619269326,21429.647619269326,-2125.207619, , , 
1,22.26,21703.3,21417.99308609639,21417.99308609639,-2336.953086, , , 
1,22.27,21356.7,21406.385064909402,21406.385064909402,-2671.945065, , , 
1,22.28,21566.7,21394.823371051807,21394.823371051807,-2450.383371, , , 
1,22.29,21816.7,21383.30782042288,21383.30782042288,-2188.86782, , , 
1,22.3,21443.3,21371.838229476405,21371.838229476405,-2550.798229, , , 
1,22.31,21060,21360.414415219446,21360.414415219446,-2922.674415, , , 
1,22.32,21170,21349.036195211116,21349.036195211116,-2801.296195, , , 
1,22.33,21033.3,21337.703387561414,21337.703387561414,-2926.663388, , , 
1,22.34,21283.3,21326.41581092991,21326.41581092991,-2665.375811, , , 
1,22.35,21126.7,21315.17328452458,21315.17328452458,-2810.733285, , , 
1,22.36,21500,21303.97562810057,21303.97562810057,-2426.235628, , , 
1,22.37,21110,21292.82266195896,21292.82266195896,-2805.082662, , , 
1,22.38,21346.7,21281.714206945544,21281.714206945544,-2557.274207, , , 
1,22.39,21103.3,21270.650084449655,21270.650084449655,-2789.610084, , , 
1,22.4,21333.3,21259.630116402914,21259.630116402914,-2548.590116, , , 
1,22.41,21226.7,21248.654125278026,21248.654125278026,-2644.214125, , , 
1,22.42,21216.7,21237.721934087567,21237.721934087567,-2643.281934, , , 
1,22.43,21243.3,21226.833366382776,21226.833366382776,-2605.793366, , , 
1,22.44,21210,21215.988246252356,21215.988246252356,-2628.248246, , , 
1,22.45,21136.7,21205.186398321282,21205.186398321282,-2690.746398, , , 
1,22.46,21030,21194.427647749555,21194.427647749555,-2786.687648, , , 
1,22.47,20826.7,21183.711820231052,21183.711820231052,-2979.27182, , , 
1,22.48,20940,21173.038741992284,21173.038741992284,-2855.298742, , , 
1,22.49,21453.3,21166.413083979944,21162.408239791253,-2335.373084, , , 
1,22.5,21096.7,21155.836117821997,21151.820140916174,-2681.396118, , , 
1,22.51,21470,21145.30142953738,21141.274273184383,-2297.56143, , , 
1,22.52,20753.3,21134.808847471286,21130.770464941073,-3003.768847, , , 
1,22.53,21133.3,21124.35820097243,21120.308545058124,-2613.318201, , , 
1,22.54,20866.7,21113.94932,21109.88834293292,-2869.509319, , , 
1,22.55,21633.3,21103.582032790335,21099.509688487204,-2092.542033, , , 
1,22.56,20936.7,21093.256172904155,21089.172412165783,-2778.816173, , , 
1,22.57,21203.3,21084.97680188854,21078.876344935492,-2503.936802, , , 
1,22.58,20820,21074.738866749623,21068.621318283895,-2876.998867, , , 
1,22.59,21116.7,21064.54187381481,21058.407164218177,-2570.101874, , , 
1,22.6,21246.7,21054.38566133175,21048.23371526394,-2429.945661, , , 
1,22.61,20623.3,21044.270056859677,21038.100804464048,-3043.230057, , , 
1,22.62,20993.3,21034.19489824905,21028.008265377423,-2663.154898, , , 
1,22.63,20673.3,21024.160020288982,21017.955932077923,-2973.12002, , , 
1,22.64,21003.3,21014.165254467607,21007.943639153124,-2633.125254, , , 
1,22.65,20856.7,21004.210441130308,20997.97122,-2769.770441, , , 
1,22.66,20750,20994.295410643444,20988.03851533972,-2866.555411, , , 
1,22.67,20676.7,20984.42000532775,20978.14535618453,-2929.980005, , , 
1,22.68,20706.7,20974.584056807333,20968.291580868536,-2890.144057, , , 
1,22.69,20900,20964.787408658347,20958.477026530585,-2687.047409, , , 
1,22.7,20926.7,20955.029892565977,20948.701530816328,-2650.589893, , , 
1,22.71,20756.7,20945.311352403503,20938.96493,-2810.871352, , , 
1,22.72,20603.3,20935.63162,20929.267068368332,-2954.591623, , , 
1,22.73,21253.3,20925.990549034028,20919.607779449372,-2294.950549, , , 
1,22.74,20783.3,20916.38796440886,20909.986904781326,-2755.347964, , , 
1,22.75,20980,20906.82371525918,20900.404284526452,-2549.083715, , , 
1,22.76,21023.3,20897.297638432403,20890.859759346862,-2496.257638, , , 
1,22.77,20730,20887.809579857756,20881.35317040341,-2780.06958, , , 
1,22.78,21023.3,20878.359376425316,20871.884359354546,-2477.319376, , , 
1,22.79,21336.7,20868.946876488902,20862.453168355205,-2154.506876, , , 
1,22.8,20840,20859.571917453515,20853.059440055596,-2641.831917, , , 
1,22.81,20676.7,20850.234349139304,20843.70301760015,-2795.794349, , , 
1,22.82,21420,20840.93400850801,20834.383744626328,-2043.194009, , , 
1,22.83,20536.7,20831.670747318414,20825.101465263513,-2917.230747, , , 
1,22.84,20913.3,20822.444403991823,20815.85602,-2531.404404, , , 
1,22.85,20643.3,20813.25483150586,20806.647266341293,-2792.214832, , , 
1,22.86,20950,20804.101867114285,20797.47503749011,-2476.361867, , , 
1,22.87,20580,20794.98536524751,20788.339183664106,-2837.245365, , , 
1,22.88,20546.7,20785.90517128553,20779.23955143537,-2861.465171, , , 
1,22.89,20660,20776.86112727879,20770.17598786114,-2739.121127, , , 
1,22.9,21046.7,20767.853088874832,20761.148340482727,-2343.413089, , , 
1,22.91,21206.7,20758.88089861424,20752.156457324338,-2174.440899, , , 
1,22.92,20650,20749.94441024829,20743.20018689204,-2722.20441, , , 
1,22.93,20356.7,20741.043467995354,20734.279378172585,-3006.603468, , , 
1,22.94,20526.7,20732.177928235928,20725.39388063232,-2827.737928, , , 
1,22.95,20886.7,20723.347634954367,20716.54354421607,-2458.907635, , , 
1,22.96,20820,20714.552444771783,20707.728219346063,-2516.812445, , , 
1,22.97,20233.3,20705.79220334146,20698.947756920792,-3094.752203, , , 
1,22.98,20416.7,20697.066769666428,20690.20200831389,-2902.62677, , , 
1,22.99,20403.3,20688.375988918695,20681.490825373086,-2907.335989, , , 
1,23,20680,20679.719720094676,20672.814060419078,-2621.97972, , , 
1,23.01,20440,20671.097811218548,20664.17156624441,-2853.357811, , , 
1,23.02,20920,20662.51012032201,20655.563196112416,-2364.77012, , , 
1,23.03,20010,20653.956498515472,20646.988803756103,-3266.216499, , , 
1,23.04,21086.7,20645.43680381523,20638.448243377075,-2180.996804, , , 
1,23.05,20373.3,20636.950887314073,20629.941369644395,-2885.910887, , , 
1,23.06,20813.3,20628.49860963113,20621.46803769357,-2437.45861, , , 
1,23.07,20130,20620.079821360414,20613.028103125398,-3112.339821, , , 
1,23.08,20790,20611.69439,20604.62142200492,-2443.954385, , , 
1,23.09,20686.7,20603.34215160725,20596.24785086033,-2538.902152, , , 
1,23.1,20683.3,20595.02298602743,20587.90724668188,-2533.982986, , , 
1,23.11,20500,20586.736737609834,20579.599466920823,-2708.996738, , , 
1,23.12,20510,20578.483273087066,20571.32436948828,-2690.743273, , , 
1,23.13,20373.3,20570.262447491277,20563.081812754263,-2819.222447, , , 
1,23.14,20426.7,20562.074117742846,20554.871655546496,-2757.634118, , , 
1,23.15,21016.7,20553.918149563495,20546.69376,-2159.47815, , , 
1,23.16,20370,20545.794397924907,20538.547977303035,-2798.054398, , , 
1,23.17,20490,20537.702727551583,20530.434176201943,-2669.962728, , , 
